Daily,Column_2,iOS Deep Dive,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
First Legendary Beast Master,,,,,,,,,,,,,,,,,,,
Day,Cost,CPI,Listening D0,LDAU D0,Activation D0,Activation D3,Meta Spends (%),UAC Spends (%),TikTok Spends (%),,,,,,,,,,
3/2/2026,16467.3632482992,32.35499290854688,0.7171501735615957,0.5560369838847441,0.18272593463350248,0.2573881444837508,0.4341260263818351,0.4447183624295716,0.12115561118859322,,,,,,,,,,
3/1/2026,14125.455285701,28.88813966002173,0.7485110321556085,0.5562704938424194,0.19633076253261864,0.2535939016046324,0.50506701016003,0.35303479498056484,0.14189819485940522,,,,,,,,,,
2/28/2026,17078.4911756856,31.877686265479483,0.7242175051514476,0.5338304290549329,0.18292091624959242,0.240783655063239,0.43156609639832466,0.45211310700299484,0.11632079659868072,,,,,,,,,,
2/27/2026,15640.5196294876,30.105126608781237,0.7141068350952062,0.535098922254629,0.16553419897085644,0.2329027683194608,0.737759072461227,0.13449178184568727,0.12774914569308593,,,,,,,,,,
2/26/2026,12883.7665468995,33.286903962315556,0.7337513211594644,0.5348117023943983,0.21702503865279932,0.2997012438538657,0.5030750772467096,0.34188146496307137,0.15504345779021905,,,,,,,,,,
2/25/2026,17956.3456355499,29.572526130714813,0.7559327365098589,0.5731254734323113,0.2140985963971278,0.29315038583606734,0.6152425716439003,0.27283412117548983,0.11192330718060989,,,,,,,,,,
2/24/2026,18607.3028411006,31.49546281661028,0.7346057071858972,0.538259481302109,0.20142414551871377,0.30806045785215047,0.5012565006880836,0.3910554894892142,0.1076880098227022,,,,,,,,,,
2/23/2026,22945.8580120622,38.333425094915384,0.7567832747360417,0.5613226938439514,0.20214299391404203,0.29569677622136725,0.391730784929388,0.5208180747721168,0.08745114029849507,,,,,,,,,,
2/22/2026,15869.7455852228,26.588723962559772,0.7841034846875446,0.559595221977863,0.18764869719018162,0.27309587180356787,0.6162856791158686,0.25732853953945534,0.1263857813446761,,,,,,,,,,
2/21/2026,13367.8870593179,25.055223638980653,0.7365938122027961,0.5472910767511869,0.19492558897987478,0.2755198228850153,0.6481389429414723,0.20257339540405803,0.14928766165446974,,,,,,,,,,
2/20/2026,19131.8682102536,27.18186288238007,0.7444801518512215,0.5583601138884161,0.19322385620566054,0.27989043876849357,0.5265396154919623,0.36910577490535956,0.10435460960267819,,,,,,,,,,
2/19/2026,16567.3776955009,23.946145300916452,0.751597252464285,0.5738155946698483,0.22403379640762341,0.2890758663324173,0.47760531760612934,0.4253421636680431,0.09705251872582756,,,,,,,,,,
2/18/2026,17298.1028876482,25.37133349541921,0.7524232089314161,0.5573505251343823,0.21707336242075945,0.29187566974142654,0.46956113951894035,0.43735564334413424,0.0930832171369256,,,,,,,,,,
2/17/2026,16250.2623023518,26.229040004807498,0.7440856779564915,0.556853706930563,0.18884603974166922,0.2776198191074111,0.4936036812032489,0.429372486858252,0.07702383193849893,,,,,,,,,,
2/16/2026,16107.4659959072,26.37756504463947,0.7614833859574158,0.5371323668688869,0.16375986794783137,0.2407270058833121,0.5129649925895312,0.4092449316051903,0.07779007580527858,,,,,,,,,,
Weekly,,,,,,,,,,,,,,,,,,,
First Legendary Beast Master,,,,,,,,,,,,,,,,,,,
Week,Cost,CPI,Listening D7,LDAU D7,Activation D3,Activation D7,Conversion D7,ARPU D7,Recovery D7,SS D7H10,CPFW D7,D15 CPFSW,D30 CPFSW,Meta Spends (%),UAC Spends (%),TikTok Spends (%),Meta Spends ($),UAC Spends ($),TikTok Spends ($)
3/2/2026,32556.287016112,31.032731125793912,0.7406382697390739,0.5824066702838793,0.24497301843364477,0.24497301843364477,0.01048522646992254,0.15296992217210628,0.004929309043152832,0.0028596072190697837,32556.287016112,,,0,0,0,0,0,0
2/23/2026,119237.739126486,31.986030766108776,0.7548674709468445,0.5896228504410675,0.2754971189276508,0.28595903483629576,0.03970162960203731,1.2632602507136355,0.03949412354258534,0.03353178175847746,4416.212560240222,,,0.5200896847599197,0.3649671059265164,0.11494320931356403,62014.31815377965,43517.85256621455,13705.568406491824
2/16/2026,114592.709736202,25.817305753541746,0.7734419655136986,0.5983867930103068,0.2759878845774194,0.29108273214206193,0.04798809748162476,1.0558034805031118,0.04089518443876629,0.04190509920930613,3696.5390237484517,,,0.5309323389644817,0.36679199505931354,0.10227566597620459,60840.97540851966,42031.68862339435,11720.045704287964
2/9/2026,102978.804693415,26.23544475765061,0.7714298778537473,0.5767890500201069,0.25476548145764444,0.2692871139007302,0.05222692369881711,1.2954671872832344,0.049378510608456855,0.04662208310674893,3321.8969255940324,4119.1521877366,,0.41759394639626396,0.49742165385214204,0.08498439975159407,43003.32544709328,51223.88734231522,8751.591904006513
2/2/2026,115698.75502084,26.613174069407528,0.7857526436193806,0.5975952482796109,0.2633743492225383,0.2824661142753511,0.05106472098463188,0.9891765503634297,0.037168679984718976,0.046004253139308,3856.6251673613338,4449.952116186154,,0.4840305545064205,0.44058945199861627,0.07537999349496304,56001.73254843969,50975.65107155405,8721.371400846241
1/26/2026,111269.413476891,24.090337430263173,0.790674719549886,0.6075118464011446,0.29661127212030225,0.3093850422335124,0.06040477731501046,1.784612597287671,0.07408001662300398,0.058672740689490445,2099.422895790396,2781.735336922275,1503.640722660689,0.5538779241410301,0.36742043254458795,0.07870164331438206,61629.67175697035,40882.6560286619,8757.085691258771
1/19/2026,106408.84888484,23.982483266635906,0.8043831286179621,0.6339954443267939,0.31102513799181497,0.3265763948914057,0.057472036368052766,1.7076249212050183,0.07120300688714092,0.05679589476372274,3040.252825281143,3224.5105722678786,1689.0293473784127,0.4770192620171419,0.46047565377932015,0.06250508420353804,50759.07056713995,48998.68425815158,6651.094059548479
1/12/2026,71615.3962138951,28.86650020876787,0.7972857853415671,0.6130797166352495,0.3119813942640915,0.32487984984090146,0.05522151293821774,1.0013836910077423,0.03469016623995116,0.07174765914600553,5115.38544384965,5115.38544384965,2652.422081996115,0.38031053816220206,0.5219059394618836,0.09778352237591437,27236.089874805773,37376.50064094795,7002.805698141385
1/5/2026,51180.8963825248,28.646623741571915,0.7679265224212903,0.5876988691999671,0.29776742706131665,0.31735738936798225,0.05373246804113985,1.2123135671124972,0.04231959682401212,0.07276271713904355,4265.074698543734,4265.074698543734,2559.04481912624,0.33282892888914073,0.5693765160253996,0.09779455508545973,17034.482922581825,29141.20046933895,5005.212990604028
Daily View >> Performance+Spends Distribution (Media Source),,,,,,,,,,,,,,,,,,,
Weekly View >> Performance+Spends Distribution (Media Source),,,,,,,,,,,,,,,,,,,
